,Candidate Deidentified ID,Work Company Name Deidentified ID,Work History Title,Work History Start Year,Work History End Year,Work History Start Month,Work History End Month
183,28,72.0,,2020.0,,6.0,
535,83,222.0,IT Business Analyst,2017.0,2018.0,5.0,7.0
520,80,214.0,,2019.0,2019.0,,
676,104,289.0,Report Developer,2013.0,2015.0,10.0,11.0
786,115,325.0,Business Analyst,2020.0,2021.0,11.0,4.0
120,23,55.0,Desktop Support,2016.0,2016.0,4.0,8.0
172,27,67.0,Software Engineer,2008.0,2009.0,1.0,6.0
610,95,258.0,Data Analyst,2010.0,2016.0,12.0,6.0
114,23,55.0,Data Analyst,2016.0,2018.0,9.0,8.0
545,85,229.0,VP,2021.0,,9.0,
149,26,63.0,Tableau Developer,2016.0,2020.0,10.0,2.0
82,16,42.0,Senior Business Analyst,2017.0,2018.0,7.0,10.0
306,49,121.0,Business Intelligence Analyst,2017.0,2018.0,10.0,5.0
533,83,223.0,Business Analyst,2021.0,2022.0,9.0,1.0
771,114,318.0,Design Engineer,2020.0,,9.0,
416,59,160.0,Analytic Consultant,2012.0,2014.0,10.0,2.0
71,14,35.0,Marketing Coordinator,2016.0,2017.0,6.0,7.0
433,61,168.0,Data Analyst,2017.0,2017.0,8.0,11.0
412,58,158.0,Software Engineer,2014.0,2014.0,6.0,8.0
445,63,173.0,DATA SPECIALIST,2015.0,2017.0,9.0,5.0
763,113,313.0,Post-Doctoral Researcher,2015.0,2016.0,,
625,97,,,,,,
638,102,275.0,Regional Sales Manager,1998.0,2001.0,11.0,5.0
541,84,227.0,BI ANALYST,2021.0,,2.0,
58,11,26.0,Atlassian Consultant,2019.0,2020.0,3.0,3.0
826,121,338.0,,2019.0,2021.0,1.0,4.0
682,105,293.0,BI Analyst,2018.0,2019.0,6.0,9.0
887,131,367.0,,2020.0,2020.0,1.0,3.0
850,125,352.0,Data Analyst- Data Analysis,2020.0,2021.0,10.0,12.0
427,60,164.0,Business Analyst,2020.0,,6.0,
461,68,182.0,Portfolio Analyst,2019.0,,,
563,87,233.0,Graduate Research Assistant,2018.0,2018.0,2.0,8.0
937,143,395.0,Data Analyst,2016.0,2020.0,8.0,10.0
946,145,398.0,Product Analyst,2020.0,2021.0,3.0,4.0
671,104,284.0,Analytics Consultant,2019.0,2019.0,3.0,6.0
695,107,121.0,Business Intelligence Analyst,2017.0,2018.0,10.0,5.0
791,115,326.0,Customer Service Representative,2020.0,2021.0,4.0,4.0
855,126,354.0,SQL BI Analyst,2016.0,2018.0,1.0,3.0
983,150,411.0,Industrial Engineer,2011.0,2014.0,2.0,3.0
383,56,151.0,Business Analyst,2009.0,2010.0,1.0,12.0
160,27,68.0,,2017.0,2018.0,11.0,9.0
314,50,127.0,PROCUREMENT ANALYST - BI,2021.0,2021.0,1.0,4.0
406,56,152.0,Senior Data Analyst,2020.0,2022.0,11.0,6.0
148,26,63.0,Tableau Developer,2016.0,2020.0,10.0,2.0
527,82,218.0,Business Analyst,2022.0,2022.0,1.0,3.0
228,34,91.0,Pricing Analyst,2021.0,,11.0,
780,114,320.0,Product Operations and Project Engineering Intern,2018.0,2019.0,6.0,8.0
37,8,16.0,Bartender,2017.0,2017.0,8.0,8.0
939,144,396.0,Financial Reporting Analyst,2017.0,2020.0,1.0,2.0
116,23,57.0,,2020.0,2020.0,1.0,4.0
507,75,207.0,Database Developer,2017.0,2020.0,6.0,9.0
501,74,204.0,,2016.0,,,
277,43,109.0,IT ANALYST,2014.0,2017.0,4.0,1.0
1009,152,420.0,GRADUATE TEACHING ASSISTANT,2015.0,2016.0,9.0,8.0
566,88,239.0,Business Intelligence Analyst,2019.0,2021.0,1.0,4.0
236,35,,,,,,
24,5,11.0,Manufacturing Intern,2017.0,2017.0,1.0,2.0
178,28,72.0,,2019.0,,6.0,
196,29,75.0,Operations Data Intern,2017.0,2018.0,8.0,6.0
378,56,149.0,Business Intelligence Analyst,2017.0,2019.0,11.0,12.0
660,102,278.0,Area Manager,2001.0,2004.0,6.0,4.0
401,56,32.0,Business System Analyst,2013.0,2017.0,4.0,11.0
333,53,138.0,Data Scientist,2019.0,2020.0,,
930,141,391.0,,2011.0,2014.0,5.0,10.0
940,144,396.0,Lead Financial Reporting Analyst,2020.0,2021.0,3.0,3.0
727,113,312.0,Post-Doctoral Researcher,2017.0,2018.0,,
846,124,347.0,Economics and Innovation Consultant,2019.0,2019.0,6.0,8.0
90,16,47.0,Statistician III,2011.0,2014.0,5.0,2.0
66,12,31.0,Business Intelligence Analyst,2020.0,2021.0,6.0,12.0
269,41,104.0,Data Analyst,2018.0,2021.0,8.0,4.0
709,110,304.0,Accounting manager,2013.0,2017.0,7.0,12.0
