,Candidate Deidentified ID,Work Company Name Deidentified ID,Work History Title,Work History Start Year,Work History End Year,Work History Start Month,Work History End Month
645,101,259.0,Analytics Advisory Senior Analyst,2020.0,,2.0,
780,126,322.0,Business Analyst,2021.0,2022.0,3.0,4.0
1080,181,451.0,Gymnastics Coach,2021.0,,8.0,
1241,218,538.0,Lead Data Analyst,2018.0,2020.0,3.0,3.0
428,64,,,,,,
319,44,116.0,Data Analyst,2019.0,2021.0,5.0,3.0
1188,204,506.0,High School Math Tutor,2022.0,,5.0,
1059,175,438.0,Power BI Analyst,2022.0,,2.0,
1208,209,519.0,Data Manager,2015.0,2017.0,,
435,65,173.0,Clinic Coordinator,2020.0,2020.0,10.0,12.0
633,97,254.0,Senior Programmer Analyst,2008.0,2014.0,6.0,8.0
253,39,105.0,Flight Attendant,2005.0,2010.0,1.0,4.0
299,43,78.0,Consultant,2017.0,2022.0,11.0,1.0
968,160,397.0,Production Data Analyst,2017.0,2019.0,1.0,10.0
1184,203,502.0,Business Intelligence Consultant,2021.0,2022.0,9.0,1.0
1050,173,207.0,Associate Project Manager,2017.0,,1.0,
254,39,106.0,Flight Dispatch Examiner,2021.0,,1.0,
51,5,20.0,Process Engineering Intern,2017.0,2018.0,12.0,6.0
1172,202,497.0,Meat Clerk,2017.0,2018.0,5.0,7.0
1126,193,475.0,,2021.0,,11.0,
970,160,398.0,Petroleum Analytics Engineer,2009.0,2012.0,10.0,8.0
1243,218,537.0,Business Intelligence Analyst,2022.0,,4.0,
275,39,104.0,Flight Dispatcher,2012.0,2019.0,10.0,2.0
1021,168,424.0,Data and R&D Engineer,2020.0,2021.0,11.0,10.0
245,38,103.0,Assistant Professor,2017.0,2018.0,8.0,11.0
925,150,,,,,,
347,51,137.0,Company Clerk,2017.0,2019.0,12.0,5.0
693,107,271.0,Custody Transfer Administrator,2022.0,,5.0,
296,41,109.0,Engineering Intern,2019.0,2019.0,6.0,8.0
113,15,53.0,Customer Service Manager,2022.0,,5.0,
623,96,252.0,Data Analyst,2018.0,2020.0,6.0,4.0
134,18,57.0,Project Manager,2015.0,2021.0,8.0,3.0
459,69,180.0,IT developer,2022.0,,7.0,
83,11,35.0,Data Analyst,2016.0,2018.0,5.0,4.0
267,39,107.0,Flight Attendant,2010.0,2012.0,10.0,9.0
1012,167,413.0,BUSINESS INTELLIGENCE / DATA ANALYST,2018.0,,1.0,
568,83,222.0,"Head of Chezzetcook, NS",2010.0,2010.0,1.0,5.0
326,45,119.0,Clinical Innovation Analyst,2017.0,2020.0,9.0,7.0
482,71,186.0,Data Analyst,2020.0,2021.0,3.0,2.0
522,78,206.0,,2021.0,2021.0,11.0,12.0
358,53,141.0,IT Specialist,2019.0,2020.0,5.0,9.0
1029,169,318.0,Data Analyst,2021.0,2021.0,7.0,9.0
1185,204,503.0,Assistant Professor - Mathematics,2012.0,2016.0,7.0,5.0
667,105,266.0,Server,2019.0,2021.0,,
824,139,343.0,Business Analyst,2022.0,,2.0,
144,19,62.0,Business Intelligence Analyst,2021.0,2022.0,6.0,7.0
904,145,371.0,Accounting office Associate,2011.0,2013.0,11.0,4.0
301,43,98.0,Research Assistant,2022.0,,3.0,
926,151,383.0,Data Analyst,2021.0,,10.0,
363,54,143.0,Technical Support Engineer(Power BI),2021.0,2022.0,6.0,6.0
483,72,,,,,,
223,32,90.0,Sales associate,2021.0,2022.0,12.0,5.0
150,20,64.0,Business Analyst,2021.0,2022.0,9.0,1.0
1134,195,482.0,BUSINESS INTELLIGENCE ANALYST,2021.0,,9.0,
922,147,381.0,Data Analyst,2021.0,,2.0,
989,164,27.0,Data Analyst,2021.0,2022.0,8.0,5.0
691,107,267.0,Maintenance Engineer,2004.0,2004.0,4.0,10.0
537,80,212.0,Business Intelligence Developer,2018.0,2021.0,5.0,8.0
115,16,54.0,ETL Developer,2017.0,2019.0,10.0,11.0
1003,167,417.0,AD DESIGNER,2008.0,2010.0,5.0,4.0
59,8,25.0,"SENIOR ANALYST, BUSINESS INTELLIGENCE",2021.0,2022.0,5.0,10.0
564,83,218.0,Lifeguard,2006.0,2012.0,8.0,6.0
212,32,90.0,Sales associate,2021.0,2022.0,12.0,5.0
295,41,110.0,Graduate Engineer,2020.0,,2.0,
116,16,55.0,Business Intelligence/ETL Developer,2021.0,,12.0,
1239,217,536.0,CNC Machinist,2017.0,,9.0,
873,144,368.0,BUSINESS LEAD - Telecom,2014.0,2015.0,,
242,38,101.0,System Administrator,2019.0,2021.0,7.0,12.0
963,160,399.0,Senior Data Analyst,2021.0,2023.0,11.0,9.0
819,137,341.0,DATA ANALYST,2020.0,,5.0,
1109,191,468.0,Senior Software Engineer,2018.0,2021.0,10.0,4.0
726,112,289.0,,2017.0,2017.0,2.0,4.0
1199,208,515.0,,2019.0,2019.0,1.0,6.0
47,5,19.0,Procurement Analyst,2018.0,2020.0,9.0,11.0
783,126,321.0,Buyer,2019.0,2020.0,8.0,12.0
439,65,171.0,Sales & Trade Show Coordinator,2011.0,2018.0,9.0,2.0
1244,218,539.0,Economic Research Assistant,2017.0,2017.0,1.0,11.0
269,39,104.0,Flight Operations Controller,2019.0,,3.0,
703,108,272.0,Senior Application and Reports Developer,2020.0,,12.0,
871,144,366.0,,2002.0,2003.0,,
1145,199,491.0,,2021.0,2021.0,6.0,8.0
630,97,255.0,Senior Systems Engineer,1996.0,2008.0,5.0,6.0
1078,181,452.0,Spatial Data Analyst,2019.0,2020.0,2.0,12.0
88,11,37.0,Business Intelligence Developer,2023.0,2023.0,4.0,8.0
129,18,58.0,Project Manager,2022.0,2023.0,12.0,12.0
480,71,186.0,Data Analyst,2020.0,2021.0,3.0,2.0
2,1,3.0,Audit Data Analyst,2020.0,2020.0,5.0,8.0
632,97,254.0,Asset Management Analyst,2014.0,2017.0,8.0,7.0
877,145,158.0,Senior Data Analyst,2020.0,2020.0,1.0,11.0
79,11,37.0,Business Intelligence Developer,2023.0,2023.0,4.0,8.0
651,102,6.0,Software Analyst,2013.0,2016.0,10.0,7.0
637,100,256.0,analyst,2019.0,2020.0,1.0,6.0
806,135,335.0,Senior Financial Data/Business Analyst,2021.0,,11.0,
506,75,198.0,Product Owner/Business Admin,2020.0,2021.0,4.0,5.0
1234,214,532.0,Programmer Analyst,2010.0,2013.0,10.0,3.0
947,155,,,,,,
872,144,367.0,DIRECTOR - IT,2010.0,2012.0,,
315,44,115.0,Research Intern,2018.0,2018.0,9.0,12.0
731,113,290.0,Jr. Site Engineer,2020.0,2021.0,6.0,3.0
158,22,70.0,Data Analyst,2016.0,2018.0,9.0,8.0
24,2,6.0,ETL Team Lead,2021.0,,12.0,
310,43,111.0,Community Volunteer,2017.0,2021.0,,
456,68,179.0,SENIOR DATA ANALYST,2021.0,2022.0,9.0,7.0
142,19,62.0,Business Intelligence Analyst,2021.0,2022.0,6.0,7.0
93,12,40.0,Business Analyst,2019.0,2020.0,9.0,5.0
127,18,57.0,Project Manager,2015.0,2021.0,8.0,3.0
255,39,104.0,Flight Operations Controller,2019.0,,3.0,
